央视,#genre#
35. 云南卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227181/index.m3u8
36. 甘肃卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227262/index.m3u8
37. 贵州卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227201/index.m3u8
38. 四川卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227182/index.m3u8
39. 重庆卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227240/index.m3u8
40. 北京卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227246/index.m3u8
41. 冬奥纪实 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221225944/index.m3u8
42. 天津卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227205/index.m3u8
43. 深圳卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227242/index.m3u8
44. 江苏卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227160/index.m3u8
45. 江西卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227209/index.m3u8
46. 海南卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227216/index.m3u8
47. 海峡卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227198/index.m3u8
48. 厦门卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221226781/index.m3u8
49. 东方卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227059/index.m3u8
50. 东南卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227156/index.m3u8
51. 黑龙江卫视 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227197/index.m3u8
52. 福建综合 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227149/index.m3u8

地方,#genre#
53. 福建新闻 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227180/index.m3u8
54. 福建经济 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227184/index.m3u8
55. 福建少儿 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227194/index.m3u8
56. 福建旅游 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227190/index.m3u8
57. 福建公共 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227153/index.m3u8
58. 福建文体 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227188/index.m3u8
59. 福建教育 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227202/index.m3u8
60. 福建电视剧 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227079/index.m3u8
61. 宁德新闻综合 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227196/index.m3u8
62. 龙岩综合 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227200/index.m3u8
63. 厦门-1 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227185/index.m3u8
64. 厦门-2 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221226777/index.m3u8
65. 厦门-3 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221226760/index.m3u8
66. 南平-1 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227066/index.m3u8
67. 南平-2 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221226956/index.m3u8
68. 乐游 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227083/index.m3u8
69. 陶瓷 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227234/index.m3u8
70. 纪实人文 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221225946/index.m3u8
71. 金鹰纪实 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221226937/index.m3u8
72. 金鹰卡通 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227018/index.m3u8
73. 快乐垂钓 高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227028/index.m3u8
